title,author,rating,reviews,price,year,fiction flag
10-Day Green Smoothie Cleanse,JJ Smith,4.7,27719,1.44,2016,FALSE
11/22/63: A Novel,Stephen King,4.7,2588,2.81,2011,TRUE
12 Rules for Life: An Antidote to Chaos,Jordan B. Peterson,4.7,39960,7.31,2018,FALSE
"1984 (Signet Classics), Book Cover May Vary",George Orwell,4.7,49411,0.86,2017,TRUE
"5,000 Awesome Facts (About Everything!) (National Geographic Kids)",National Kids,4.8,15160,2.5,2019,FALSE
A Dance with Dragons (A Song of Ice and Fire),George R. R. Martin,4.5,15344,0.6,2011,TRUE
A Game of Thrones / A Clash of Kings / A Storm of Swords / A Feast of Crows / A Dance with Dragons,George R. R. Martin,4.7,26208,12.95,2014,TRUE
A Gentleman in Moscow: A Novel,Amor Towles,4.7,33545,13,2017,TRUE
"A Higher Loyalty: Truth, Lies, and Leadership",James Comey,4.7,7952,6.3,2018,FALSE
A Man Called Ove: A Novel,Fredrik Backman,4.6,37764,0.94,2017,TRUE
A Man Called Ove: A Novel,Fredrik Backman,4.6,37764,0.94,2016,TRUE
A Patriot's History of the United States: From Columbus's Great Discovery to the War on Terror,Larry Schweikart,4.7,539,2.37,2010,FALSE
A Promised Land,Barack Obama,4.9,110527,5.44,2020,FALSE
A Stolen Life: A Memoir,Jaycee Dugard,4.7,5301,1.57,2011,FALSE
A Wrinkle in Time (Time Quintet),Madeleine L'Engle,4.6,1697194,5.35,2018,TRUE
"Adult Coloring Book Designs: Stress Relief Coloring Book: Garden Designs, Mandalas, Animals, and Paisley Patterns",no author,4.5,2914,4.99,2016,FALSE
Adult Coloring Book: Stress Relieving Animal Designs,Blue Star Coloring,4.6,3656,1.07,2015,FALSE
Adult Coloring Book: Stress Relieving Patterns,Blue Star Coloring,4.5,3928,1.25,2015,FALSE
"Adult Coloring Books: A Coloring Book for Adults Featuring Mandalas and Henna Inspired Flowers, Animals, and Paisley・ｦ",Coloring Books for Adults,4.5,2942,0.99,2015,FALSE
Alexander Hamilton,Ron Chernow,4.8,16532,2.29,2016,FALSE
All the Light We Cannot See,Anthony Doerr,4.6,49298,14.53,2015,TRUE
All the Light We Cannot See,Anthony Doerr,4.6,49298,14.53,2014,TRUE
Allegiant,Veronica Roth,3.8,22026,12.99,2013,TRUE
American Dirt (Oprah's Book Club): A Novel,Jeanine Cummins,4.6,47043,16.75,2020,TRUE
American Sniper: The Autobiography of the Most Lethal Sniper in U.S. Military History,Chris Kyle,4.6,18017,0.35,2015,FALSE
And the Mountains Echoed,Khaled Hosseini,4.3,14376,14.99,2013,TRUE
Astrophysics for People in a Hurry,Neil deGrasse Tyson,4.7,16419,2.11,2017,FALSE
Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,4.8,47168,11.4,2020,FALSE
"Autobiography of Mark Twain, Vol. 1",Mark Twain,4.3,575,19.39,2010,FALSE
Baby Touch and Feel: Animals,DK,4.7,9118,0.25,2015,FALSE
Balance (Angie・・s Extreme Stress Menders),Angie Grace,4.5,2176,11.95,2015,FALSE
Barefoot Contessa Foolproof: Recipes You Can Trust: A Cookbook,Ina Garten,4.8,1958,3.04,2012,FALSE
"Barefoot Contessa, How Easy Is That?: Fabulous Recipes & Easy Tips",Ina Garten,4.8,1015,16.8,2010,FALSE
Becoming,Michelle Obama,4.8,114201,1.56,2020,FALSE
Becoming,Michelle Obama,4.8,114201,1.56,2019,FALSE
Becoming,Michelle Obama,4.8,114201,1.56,2018,FALSE
Being Mortal: Medicine and What Matters in the End,Atul Gawande,4.8,15055,16.67,2015,FALSE
Between the World and Me,Ta-Nehisi Coates,4.6,1697194,7.99,2015,TRUE
Between the World and Me,Ta-Nehisi Coates,4.6,1697194,7.99,2016,TRUE
Born to Run,Bruce Springsteen,4.7,4907,1.53,2016,FALSE
"Broke: The Plan to Restore Our Trust, Truth and Treasure",Glenn Beck,4.5,516,9.99,2010,TRUE
"Brown Bear, Brown Bear, What Do You See?",Bill Martin Jr.,4.9,31444,1.25,2019,TRUE
"Brown Bear, Brown Bear, What Do You See?",Bill Martin Jr.,4.9,31444,1.25,2020,TRUE
"Brown Bear, Brown Bear, What Do You See?",Bill Martin Jr.,4.9,31444,1.25,2017,TRUE
Burn After Writing,Sharon Jones,4.6,32219,1.4,2020,FALSE
"Cabin Fever (Diary of a Wimpy Kid, Book 6)",Jeff Kinney,4.8,8082,16.99,2011,TRUE
Calm the F*ck Down: An Irreverent Adult Coloring Book,Sasha O'Hara,4.6,19245,4.99,2016,FALSE
Can't Hurt Me: Master Your Mind and Defy the Odds,David Goggins,4.8,40261,10.41,2019,FALSE
